Id,Name,Rating,Author,Genre,Made with,Tags,Github_links,Url,Total ratings,Repo_Name,repoAge,forks,watchers,stars,openIssues,closedIssues,totalIssues,issuesOpenedLast6Months,AvgIssueCloseTime,commits,dateOfLastCommit,daysOfActivity,commitsInLast6Months,committersParticipation,assets_Images,assets_Audio,assets_3D Models,assets_Shaders,assets_Fonts,assets_Videos,assets_Tilemaps,tests_hasSomeTestFolder?,tests_Test Folders,tests_hasPotentialTestFiles?,tests_hasTestFiles,docs_HasDocs,llm_testing_Bug Related Activity,llm_testing_Testing Practices,llm_testing_Troubleshooting Practices,llm_testing_Contribution Practices,engine_EngineOrFramework
10301,AbyssalKart,5.0,?,Racing,?,"3D,Creepy,DRM Free,Horror,Local multiplayer,Open Source,Unity",https://github.com/Hertog-lab/-AbyssalKart,https://sem-glu.itch.io/abyssal,1.0,-AbyssalKart,1064,1,2,2,0,0,0,0,0.0,242,2023-01-17 13:27:48+00:00,70,0,5,110,160,17,13,4,0,0,No,,No,,No,No,No,No,No,Unity
9308,2048 balls replica,,Noam,?,?,"2048,balls,mobile,Open Source,Unity,voodoo",https://github.com/devnoam/2048-balls,https://devnoam.itch.io/2048,,2048-balls,1395,0,6,6,0,0,0,0,0.0,10,2022-02-28 15:51:03+00:00,79,0,1,4,0,1,14,1,0,0,No,,No,,Yes,No,No,No,No,Unity
10451,Medieval Express,,obsfx,Survival,?,"2D,Open Source,Pixel Art,Roguelike,Turn-based,Turn-Based Combat",https://github.com/obsfx/2kplus-jam-medieval-express,https://obsfx.itch.io/medieval-express,,2kplus-jam-medieval-express,2072,0,2,2,0,0,0,0,0.0,23,2020-02-09 14:07:22+00:00,6,0,1,7,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unity
4089,8 Legs to Love,4.7,ayla~nonsense,?,PICO-8,"PICO-8,spider,web-building",https://github.com/bridgs/8-legs-to-love,https://aylanonsense.itch.io/8-legs-to-love,71.0,8-legs-to-love,3324,0,1,1,1,0,0,0,0.0,43,2017-06-21 03:26:14+00:00,294,0,2,1,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
4187,90 Second Portraits,4.4,Tangram Games,Simulation,?,"Ludum Dare 31,Painting,portraits,tangram-games",https://github.com/SimonLarsen/90-Second-Portraits,https://tangramgames.itch.io/90-second-portraits,129.0,90-Second-Portraits,3956,7,46,46,2,4,6,0,0.0,56,2018-08-18 15:34:04+00:00,1350,0,2,72,26,0,0,3,0,0,No,,No,,Yes,No,No,No,No,LÖVE
9814,9in1,3.5,Diefonk,?,p5.js,"1d,Game Maker's Toolkit Jam,Open Source,p5,p5js",https://github.com/Diefonk/9in1,https://diefonk.itch.io/9in1,2.0,9in1,2255,0,0,0,0,0,0,0,0.0,3,2021-02-01 11:57:38+00:00,546,0,1,0,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
9862,A Halting Problem,4.0,Honey Pony,Puzzle,"Inkscape,Blender,Audacity,Godot","Ludum Dare 50,Nonlinear,Open Source,programming,programming-puzzle",https://github.com/HoneyPony/a-halting-problem,https://honey-pony.itch.io/a-halting-problem,3.0,a-halting-problem,1283,0,0,0,0,0,0,0,0.0,29,2022-04-04 00:27:05+00:00,2,0,1,29,13,8,0,4,0,0,No,,No,,No,No,No,No,No,Godot
9742,A New Home,,Wekufu Studios,"Adventure,Action,Shooter",Godot,"2D,Godot,Open Source,Pixel Art,Space",https://github.com/WekufuStudios/A-new-home,https://wekufu-studios.itch.io/a-new-home,,A-new-home,799,1,0,0,0,0,0,0,0.0,58,2023-07-30 17:43:59+00:00,1,0,2,48,9,0,0,1,0,0,No,,No,,No,No,No,No,No,Unity
10512,A Palace for Fools,4.6,Jani Nykänen,Platformer,Tiled,"2D,Exploration,Metroidvania,Open Source,Pixel Art",https://github.com/jani-nykanen/a-palace-for-fools,https://jani-nykanen.itch.io/a-palace-for-fools,32.0,a-palace-for-fools,2200,2,15,15,0,0,0,0,0.0,155,2020-01-02 08:15:38+00:00,95,0,1,31,33,0,0,0,0,7,No,,Yes,,Yes,No,No,No,No,Unity
6147,A Paradox Between Worlds: IFComp Edition,4.8,Autumn Chen,Interactive Fiction,?,"Internet,LGBT,Narrative,Slice Of Life,Story Rich,Text based,Transgender",https://github.com/aucchen/a-paradox-between-worlds,https://red-autumn.itch.io/a-paradox-between-worlds-ifcomp-edition,39.0,a-paradox-between-worlds,1476,0,0,0,0,0,0,0,0.0,35,2022-04-20 23:48:03+00:00,212,0,1,0,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
9077,Above Steel Bars,,Miru,Platformer,p5.js,"2D,Female Protagonist,Indie,Open Source,Robots,Short,Singleplayer",https://github.com/MirrorMiru/AboveSteelBars,https://mirrormiru.itch.io/above-steel-bars,,AboveSteelBars,945,0,0,0,0,0,0,0,0.0,6,2024-09-23 19:12:54+00:00,567,0,1,142,8,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
6564,Absume,4.8,Anuke,Action,?,?,https://github.com/Anuken/absume,https://anuke.itch.io/absume,29.0,absume,1376,0,18,18,0,0,0,0,0.0,45,2022-01-02 03:56:44+00:00,3,0,1,50,14,0,0,0,0,0,No,,No,,No,No,No,No,No,Unity
8841,Quiz,,Ash4rk,Educational,Godot,"2D,Godot,Open Source,Quiz",https://github.com/ash4rk/ad-aurum-quiz,https://ash4rk.itch.io/quiz,,ad-aurum-quiz,874,0,0,0,0,0,0,0,0.0,56,2023-06-22 18:00:00+00:00,37,0,1,25,0,0,0,2,0,0,No,,Yes,,Yes,No,No,No,No,Unity
8775,Advent Of Godot,,russmatney,?,?,"advent-of-code,Godot,Open Source",https://github.com/russmatney/advent-of-godot,https://russmatney.itch.io/advent-of-godot,,advent-of-godot,1037,1,2,2,0,0,0,0,0.0,52,2024-12-06 21:35:59+00:00,733,0,1,11,0,0,0,14,0,0,Yes,test,Yes,Yes,Yes,No,No,No,No,Godot
10463,Aero Fight,,Sammy_T,"Shooter,Action","Godot,LMMS","2D,Flying,Godot,Open Source,Pixel Art,Procedural Generation,Singleplayer",https://github.com/Sammy-T/Aero-Fight,https://sammy-t.itch.io/aero-fight,,Aero-Fight,860,3,3,3,0,0,0,0,0.0,158,2023-05-29 21:57:44+00:00,0,0,1,156,5,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unity
10510,Aerofoil,4.7,Gale Force Games,Action,SDL,"2D,Arcade,Level Editor,Open Source,Retro",https://github.com/elasota/Aerofoil,https://galeforcegames.itch.io/aerofoil,9.0,Aerofoil,2191,11,60,60,7,8,15,1,109.4,796,2025-07-21 16:10:29+00:00,2114,5,9,67,5,0,18,23,0,0,Yes,test; tests; unittest,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown
5861,Veiled,4.6,?,"Interactive Fiction,Visual Novel",?,"Horror,Point & Click",https://github.com/Grouflon/AGBIC2020_Veiled,https://grouflon.itch.io/veiled,179.0,AGBIC2020_Veiled,1861,1,8,8,0,0,0,0,0.0,66,2022-01-21 09:41:03+00:00,507,0,3,148,21,0,15,2,0,0,No,,Yes,,Yes,No,No,No,No,Unity
7054,TOC TOC,4.8,?,"Adventure,Puzzle","PixiJS,Clip Studio Paint,Blender,Aseprite","2D,3D,Cute,Isometric,Point & Click,Singleplayer,Surreal,weird",https://github.com/SweetheartSquad/AGBIC2023-TOC-TOC,https://sweetheartsquad.itch.io/toc-toc,50.0,AGBIC2023-TOC-TOC,834,0,0,0,0,0,0,0,0.0,964,2023-08-15 03:32:10+00:00,51,0,3,337,88,3,1,1,0,0,No,,No,,Yes,No,No,No,No,PixiJS
10209,Ai Sponge Rehydrated,1.9,PorkIsG00D,?,"Unity,Audacity,Blender","3D,ai,ai-sponge,Cartoon,Fangame,Generator,Meme,Open Source,spongebob,underwater",https://github.com/Gurrman375/AiSponge-USABLE-,https://porkisg00d.itch.io/ai-sponge-rehydrated,12.0,AiSponge-USABLE-,555,1,6,6,7,0,7,1,0.0,28,2024-04-01 21:58:02+00:00,3,0,2,0,0,0,0,0,0,0,No,,No,,Yes,Yes,No,No,No,Unknown
10243,All Alone (Open Source),,thelastflapjack,Shooter,"Inkscape,Blender,Krita,Audacity,Godot","3D,First-Person,Godot,Horror,Open Source,Singleplayer,Zombies",https://github.com/thelastflapjack/all_alone,https://thelastflapjack.itch.io/all-alone,,all_alone,966,4,26,26,0,0,0,0,0.0,2,2023-02-13 18:10:18+00:00,0,0,1,32,26,17,1,2,0,0,No,,No,,Yes,No,No,No,No,Godot
9076,All Of Your Friends Are Dead,,IDid,Strategy,?,"2D,Game Maker's Toolkit Jam,Magic,Open Source,Turn-based Strategy",https://github.com/IDidMakeThat/all-of-your-friends-are-dead,https://idid.itch.io/all-of-your-friends-are-dead,,all-of-your-friends-are-dead,2255,0,1,1,0,0,0,0,0.0,5,2019-08-04 17:53:04+00:00,0,0,1,1,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unknown
9768,Ancient Beast,,Dread Knight,"Strategy,Card Game",Phaser,"Arcade,Chess,Dark Fantasy,GitHub,Open Source,Sci-fi,sourcecode,Team-Based,Turn-based",https://github.com/FreezingMoon/AncientBeast,https://dreadknight.itch.io/ancientbeast,,AncientBeast,5189,658,1794,1794,466,1422,1888,46,565.95,5686,2025-10-02 06:22:21+00:00,5185,190,205,510,79,0,0,0,0,0,Yes,__tests__,Yes,,Yes,No,No,No,No,Unity
9896,Antigolf,5.0,?,Sports,Godot,"Godot,Golf,Mouse only,Open Source,stable-diffusion",https://github.com/chusikins/antigolf,https://morozig.itch.io/antigolf,1.0,antigolf,680,0,4,4,0,0,0,0,0.0,23,2023-12-01 19:26:02+00:00,5,0,2,30,6,0,0,1,0,0,No,,No,,Yes,No,No,No,No,Godot
8765,Approach,,smaleck,?,Unity,"Experimental,Open Source",https://github.com/SMaleck/approach,https://smaleck.itch.io/approach,,approach,2256,1,3,3,2,0,0,0,0.0,237,2021-04-14 19:40:38+00:00,620,0,5,23,0,3,11,3,0,0,No,,Yes,,Yes,No,No,No,No,Unity
10244,Art Treachery,3.5,Headmade Games,?,?,"british-library,crowdsource,Game Jam,headmade,headmade-games,Open Source,pi,raspberry,raspberry-pi",https://github.com/headmadegames/ArtTag,https://headmade.itch.io/art-treachery,2.0,ArtTag,3684,0,1,1,0,0,0,0,0.0,35,2015-11-29 23:49:10+00:00,86,0,1,163,19,0,0,4,0,9,Yes,test,Yes,Yes,Yes,No,Yes,No,No,libGDX
10375,Ash & Phoenix,3.0,Honey Pony,Interactive Fiction,"Audacity,Godot,GIMP","artgame,Ludum Dare 53,Open Source,serious,short-story,Singleplayer,snail-mail,Story Rich,Typing",https://github.com/HoneyPony/ash-and-phoenix,https://honey-pony.itch.io/ash-and-phoenix,2.0,ash-and-phoenix,890,0,0,0,0,0,0,0,0.0,38,2023-04-30 18:05:29+00:00,0,0,1,65,22,1,0,2,0,0,No,,No,,No,No,No,No,No,Godot
9043,A* Pathfinding,,jhocking,?,Unity,"artificial-intelligence,Open Source,Unity",https://github.com/jhocking/AstarPathfinding,https://jhocking.itch.io/astar-pathfinding,,AstarPathfinding,1275,0,2,2,0,0,0,0,0.0,21,2022-05-28 23:21:37+00:00,49,0,1,0,0,0,0,0,0,0,No,,No,,Yes,No,No,No,No,Unity
